iteracion,individuo,fitness
1,1,0.938800
1,2,0.937576
1,3,0.932681
1,4,0.932069
1,5,0.938188
1,6,0.936353
1,7,0.928397
1,8,0.934517
1,9,0.925337
1,10,0.934517
1,11,0.935741
1,12,0.932681
1,13,0.938800
1,14,0.937576
1,15,0.933293
2,1,0.938800
2,2,0.932069
2,3,0.938800
2,4,0.941248
2,5,0.940636
2,6,0.936965
2,7,0.936965
2,8,0.939412
2,9,0.936965
2,10,0.935741
2,11,0.940636
2,12,0.938800
2,13,0.938188
2,14,0.937576
2,15,0.935741
3,1,0.941248
3,2,0.935741
3,3,0.938188
3,4,0.935129
3,5,0.938800
3,6,0.941248
3,7,0.940636
3,8,0.939412
3,9,0.938188
3,10,0.932681
3,11,0.938800
3,12,0.936353
3,13,0.938188
3,14,0.938188
3,15,0.934517
4,1,0.941248
4,2,0.937576
4,3,0.938188
4,4,0.938800
4,5,0.942472
4,6,0.942472
4,7,0.936965
4,8,0.943084
4,9,0.935129
4,10,0.933293
4,11,0.929621
4,12,0.936353
4,13,0.943084
4,14,0.935741
4,15,0.938800
5,1,0.943084
5,2,0.940024
5,3,0.940024
5,4,0.935129
5,5,0.937576
5,6,0.937576
5,7,0.937576
5,8,0.941860
5,9,0.936353
5,10,0.937576
5,11,0.935129
5,12,0.937576
5,13,0.936965
5,14,0.945532
5,15,0.936353
6,1,0.945532
6,2,0.938188
6,3,0.940024
6,4,0.936353
6,5,0.940024
6,6,0.937576
6,7,0.937576
6,8,0.943084
6,9,0.932069
6,10,0.932069
6,11,0.937576
6,12,0.940636
6,13,0.932069
6,14,0.943084
6,15,0.935129
7,1,0.945532
7,2,0.933905
7,3,0.938800
7,4,0.943696
7,5,0.935741
7,6,0.938800
7,7,0.938188
7,8,0.936353
7,9,0.937576
7,10,0.937576
7,11,0.938800
7,12,0.938800
7,13,0.940024
7,14,0.935741
7,15,0.936353
8,1,0.945532
8,2,0.942472
8,3,0.937576
8,4,0.941860
8,5,0.938188
8,6,0.937576
8,7,0.936965
8,8,0.937576
8,9,0.939412
8,10,0.933905
8,11,0.939412
8,12,0.940024
8,13,0.935129
8,14,0.939412
8,15,0.939412
9,1,0.945532
9,2,0.936965
9,3,0.935129
9,4,0.941248
9,5,0.940636
9,6,0.937576
9,7,0.936353
9,8,0.932681
9,9,0.939412
9,10,0.937576
9,11,0.938800
9,12,0.940024
9,13,0.940636
9,14,0.934517
9,15,0.938800
10,1,0.945532
10,2,0.937576
10,3,0.935741
10,4,0.940636
10,5,0.938188
10,6,0.935129
10,7,0.935129
10,8,0.938800
10,9,0.934517
10,10,0.941248
10,11,0.942472
10,12,0.940636
10,13,0.940636
10,14,0.943084
10,15,0.942472
11,1,0.945532
11,2,0.936353
11,3,0.937576
11,4,0.943084
11,5,0.940636
11,6,0.933905
11,7,0.937576
11,8,0.933905
11,9,0.933905
11,10,0.939412
11,11,0.938800
11,12,0.934517
11,13,0.940024
11,14,0.940024
11,15,0.940636
12,1,0.945532
12,2,0.933905
12,3,0.938800
12,4,0.942472
12,5,0.933293
12,6,0.933905
12,7,0.936353
12,8,0.932681
12,9,0.936353
12,10,0.940024
12,11,0.939412
12,12,0.939412
12,13,0.936353
12,14,0.938800
12,15,0.935129
13,1,0.945532
13,2,0.936353
13,3,0.940636
13,4,0.933293
13,5,0.935129
13,6,0.940636
13,7,0.939412
13,8,0.939412
13,9,0.940024
13,10,0.940024
13,11,0.940024
13,12,0.940024
13,13,0.940024
13,14,0.932681
13,15,0.935741
14,1,0.945532
14,2,0.944920
14,3,0.940636
14,4,0.937576
14,5,0.938800
14,6,0.943084
14,7,0.940636
14,8,0.930233
14,9,0.942472
14,10,0.940024
14,11,0.938188
14,12,0.938188
14,13,0.936965
14,14,0.944308
14,15,0.935129
15,1,0.945532
15,2,0.936965
15,3,0.942472
15,4,0.935741
15,5,0.937576
15,6,0.937576
15,7,0.943084
15,8,0.942472
15,9,0.941860
15,10,0.941860
15,11,0.933293
15,12,0.936353
15,13,0.943696
15,14,0.935741
15,15,0.944308
16,1,0.945532
16,2,0.940024
16,3,0.936353
16,4,0.941248
16,5,0.935741
16,6,0.931457
16,7,0.938188
16,8,0.937576
16,9,0.938188
16,10,0.938188
16,11,0.940024
16,12,0.940636
16,13,0.930233
16,14,0.936353
16,15,0.938188
17,1,0.945532
17,2,0.941860
17,3,0.938188
17,4,0.941860
17,5,0.937576
17,6,0.941860
17,7,0.937576
17,8,0.940636
17,9,0.938188
17,10,0.936965
17,11,0.939412
17,12,0.934517
17,13,0.941248
17,14,0.937576
17,15,0.933293
18,1,0.945532
18,2,0.941860
18,3,0.936353
18,4,0.941248
18,5,0.938188
18,6,0.943084
18,7,0.938800
18,8,0.941860
18,9,0.940024
18,10,0.941248
18,11,0.937576
18,12,0.937576
18,13,0.941248
18,14,0.929621
18,15,0.935129
19,1,0.945532
19,2,0.939412
19,3,0.941860
19,4,0.943084
19,5,0.941860
19,6,0.941860
19,7,0.941860
19,8,0.938800
19,9,0.943084
19,10,0.941860
19,11,0.941860
19,12,0.942472
19,13,0.941860
19,14,0.938188
19,15,0.935741
20,1,0.945532
20,2,0.941860
20,3,0.941860
20,4,0.941860
20,5,0.941860
20,6,0.941860
20,7,0.940636
20,8,0.940636
20,9,0.942472
20,10,0.941860
20,11,0.938800
20,12,0.941860
20,13,0.941860
20,14,0.941248
20,15,0.941860
