seccion,campo,valor
hiperparametros,arquitectura_capas,"(87, 43)"
hiperparametros,alpha_regularizacion,0.00086035
hiperparametros,learning_rate_init,0.00196115
hiperparametros,activacion,tanh
hiperparametros,solver,adam
hiperparametros,max_iter,200
hiperparametros,early_stopping,True
proceso,fitness_alpha_final,0.945532
proceso,media_final_poblacion,0.941738
proceso,std_final_poblacion,0.001326
proceso,total_evaluaciones_mlp,300
proceso,tiempo_total_s,1071.87
evaluacion_final,accuracy_prueba,0.930224
reporte_por_clase,BARBUNYA_precision,0.942308
reporte_por_clase,BARBUNYA_recall,0.924528
reporte_por_clase,BARBUNYA_f1_score,0.933333
reporte_por_clase,BARBUNYA_support,265
reporte_por_clase,BOMBAY_precision,1.000000
reporte_por_clase,BOMBAY_recall,0.990385
reporte_por_clase,BOMBAY_f1_score,0.995169
reporte_por_clase,BOMBAY_support,104
reporte_por_clase,CALI_precision,0.944099
reporte_por_clase,CALI_recall,0.932515
reporte_por_clase,CALI_f1_score,0.938272
reporte_por_clase,CALI_support,326
reporte_por_clase,DERMASON_precision,0.917827
reporte_por_clase,DERMASON_recall,0.929478
reporte_por_clase,DERMASON_f1_score,0.923616
reporte_por_clase,DERMASON_support,709
reporte_por_clase,HOROZ_precision,0.963731
reporte_por_clase,HOROZ_recall,0.963731
reporte_por_clase,HOROZ_f1_score,0.963731
reporte_por_clase,HOROZ_support,386
reporte_por_clase,SEKER_precision,0.944578
reporte_por_clase,SEKER_recall,0.965517
reporte_por_clase,SEKER_f1_score,0.954933
reporte_por_clase,SEKER_support,406
reporte_por_clase,SIRA_precision,0.882466
reporte_por_clase,SIRA_recall,0.869070
reporte_por_clase,SIRA_f1_score,0.875717
reporte_por_clase,SIRA_support,527
